,Geo_FIPS,year,Geo_NAME,vehicles_per_worker,pct_unemployed,average_commute_time_per_worker_drive_alone,pct_car_wrkr_cmute_01_to_14_min,pct_car_wrkr_cmute_15_to_29_min,pct_car_wrkr_cmute_30_to_44_min,pct_car_wrkr_cmute_44_to_59_min,pct_car_wrkr_cmute_over_60_min,total_workers,land_area,total_population,ln_average_commute_time_per_worker_drive_alone,ln_vehicles_per_worker
1746,31185,2014,"York County, Nebraska",0.8499787505312367,2.413515687851971,13.697585768742059,0.6180710358151286,0.21533660276415514,0.0558775449546738,0.02125130034180413,0.025115173131223065,7059,1482793512,13797,2.617219596045585,-0.1625439291852801
1748,32003,2014,"Clark County, Nevada",0.8356570165141276,12.07803957429422,22.832719452855486,0.18380100774853836,0.4475571446047599,0.2292627924744312,0.0375032025906939,0.021189032482925287,891903,20437567839,2003613,3.1281945709622523,-0.17953701740769976
1750,32007,2014,"Elko County, Nevada",0.6950636942675159,5.283932228635264,24.329216032266196,0.40330334031800813,0.1756029417806812,0.09063642713340729,0.03418382020625334,0.11122067463741321,25120,44469614945,50991,3.1916779340101997,-0.3637517911885418
1753,32013,2014,"Humboldt County, Nevada",0.6885524083017883,10.020876826722338,26.13938411669368,0.4147328656233135,0.17107393416082028,0.049919050188882895,0.05423637344846195,0.14247166756610902,7661,24969524983,17003,3.2634431469657073,-0.3731638441725536
1754,32015,2014,"Lander County, Nevada",0.6362906463267763,12.371134020618557,25.9695218076721,0.400082406262876,0.1503914297486609,0.06798516687268233,0.06221672847136382,0.10341985990935311,2491,14219262937,5930,3.2569236122464518,-0.45209982895079953
1758,32023,2014,"Nye County, Nevada",0.8170686456400742,15.333211834031953,26.136665559614745,0.4525898889492894,0.2238098936087598,0.05568067096373379,0.03090782014444358,0.1723227459812068,13475,47091007512,42938,3.263339139218442,-0.20203216606047228
1759,32027,2014,"Pershing County, Nevada",0.7852077001013171,11.50366221456269,22.7414605418139,0.38769230769230767,0.19538461538461538,0.19076923076923077,0.028717948717948718,0.06820512820512821,1974,15634726504,6741,3.1241897141320716,-0.24180701008013458
1762,32033,2014,"White Pine County, Nevada",0.7620671563483735,10.614015065053641,16.79483328326825,0.40265604249667997,0.34183266932270917,0.10252324037184594,0.003452855245683931,0.03373173970783533,3812,22987794112,10043,2.821071296445666,-0.2717205954880812
1763,32510,2014,"Carson City, Nevada",0.8769210328181053,14.497946995147442,16.38814016172507,0.5624043223773075,0.21431787483115713,0.12345790184601531,0.03246285457001351,0.0194957226474561,22579,374669596,54634,2.7965579123527777,-0.1313383330607012
1766,33005,2014,"Cheshire County, New Hampshire",0.8567716704168006,7.8662435245251325,22.910006536336088,0.34408153036504885,0.32667836159607944,0.16097234984545986,0.043883830367833374,0.06159329490713669,37332,1830366195,76596,3.1315737817702995,-0.15458382480139934
